Index,Name,Type,Minimum Value,Maximum Value,Mean,Median,Mode,Standard Deviation,Interquartile Range,Upper Quartile,Lower Quartile,Total Responses,Anomalies
1,1. I look forward to learning about coding in the Swift Accelerator Programme. ,Scale Rating (1 to 10),1,7,6.551020408163265,7.0,[7],1.2299199325158665,0,7.0,7.0,49,"[(1, 6), (1, 9)]"
2,2. I look forward to learning about design thinking in the Swift Accelerator Programme. ,Scale Rating (1 to 10),1,7,6.36734693877551,7.0,[7],1.2887880329670975,0,7.0,7.0,49,"[(1, 6), (1, 9)]"
3,3. I would like improve my math performance after the Swift Accelerator Programme. ,Scale Rating (1 to 10),1,7,5.571428571428571,6.0,[7],1.7956864414252192,0,6.0,6.5,49,[]
4,4. I would like improve my science performance after the Swift Accelerator Programme. ,Scale Rating (1 to 10),1,7,5.836734693877551,6.0,[7],1.556381711423479,0,6.0,5.0,49,"[(1, 6), (1, 9), (1, 43)]"
5,5. I would like to learn coding outside of school rather than in school. ,Scale Rating (1 to 10),1,7,5.326530612244898,6.0,[7],1.6949836565588665,0,6.0,6.0,49,[]
6,6. I would like to solve a problem by my own rather than being told what to do. ,Scale Rating (1 to 10),1,7,5.571428571428571,6.0,[7],1.498298354528788,0,6.0,4.0,49,"[(1, 6), (1, 9)]"
7,7. More time should be spent on coding projects in mathematics and science activities at school. ,Scale Rating (1 to 10),1,7,5.673469387755102,6.0,[7],1.633673150709347,0,6.0,5.5,49,[]
8,"8. I can use what I know to build something (mechanical, digital or otherwise) that works. ",Scale Rating (1 to 10),1,7,5.979591836734694,7.0,[7],1.4637078430237638,0,7.0,6.5,49,"[(1, 6), (1, 9)]"
9,9. I can use what I have learned to design a solution to a coding-related problem.,Scale Rating (1 to 10),1,7,6.040816326530612,7.0,[7],1.442208958698347,0,7.0,6.5,49,"[(1, 6), (1, 9)]"
10,10. I can effectively participate in a team to design and build a hands-on project. ,Scale Rating (1 to 10),1,7,6.163265306122449,7.0,[7],1.360476188775425,0,7.0,6.0,49,"[(1, 6), (1, 9)]"
11,"11. I know where I can find the information,resources,  or look for other people who can help me when I need help to solve difficult problems ",Scale Rating (1 to 10),1,7,6.122448979591836,7.0,[7],1.3497188378601186,0,7.0,7.0,49,"[(1, 6), (1, 9)]"
12,12. I can use what I have learned to teach myself how to design new Apps from scratch on my own.,Scale Rating (1 to 10),1,7,5.714285714285714,6.0,[7],1.5649215928719031,0,6.0,6.0,49,"[(1, 6), (1, 9)]"
13,13. I can explain the design of my App to my friends to help them understand how to go about designing one.,Scale Rating (1 to 10),1,7,5.836734693877551,6.0,[7],1.5030165420017934,0,6.0,6.0,49,"[(1, 6), (1, 9)]"
14,14. I am interested in learning mathematics. ,Scale Rating (1 to 10),1,7,6.061224489795919,7.0,[7],1.490215205186015,0,7.0,6.5,49,"[(1, 6), (1, 9)]"
15,15. I am interested in learning Science. ,Scale Rating (1 to 10),1,7,6.040816326530612,7.0,[7],1.4702378493328878,0,7.0,6.0,49,"[(1, 6), (1, 9)]"
16,16. Iâ€™m interested in coding and computer science.  ,Scale Rating (1 to 10),1,7,6.448979591836735,7.0,[7],1.2945919614003027,0,7.0,7.0,49,"[(1, 6), (1, 9)]"
17,17. I feel inspired to work on my personal coding-related projects. ,Scale Rating (1 to 10),1,7,6.183673469387755,7.0,[7],1.350335852218226,0,7.0,7.0,49,"[(1, 6), (1, 9)]"
18,18. I can easily understand mathematics concepts.  ,Scale Rating (1 to 10),1,7,5.857142857142857,6.0,[7],1.511857892036909,0,7.0,5.0,49,"[(1, 6), (1, 9)]"
19,19. I can easily understand science concepts.  ,Scale Rating (1 to 10),1,7,5.877551020408164,6.0,[7],1.4795566498279067,0,7.0,5.0,49,"[(1, 6), (1, 9)]"
20,20. I know how to collaborate with others. ,Scale Rating (1 to 10),1,7,6.122448979591836,7.0,[7],1.3497188378601186,0,7.0,6.5,49,"[(1, 6), (1, 9)]"
21,21. I think the Swift Accelerator Programme activities will help me improve my grades in Design & Technology (D&T) (i.e. if you are taking this subject). ,Scale Rating (1 to 10),1,7,5.591836734693878,6.0,[7],1.76031499206921,0,6.0,6.0,49,[]
22,22. I think the Swift Accelerator Programme activities will help me improve my coding skills.  ,Scale Rating (1 to 10),1,7,6.428571428571429,7.0,[7],1.2453996981544782,0,7.0,6.5,49,"[(1, 6), (1, 9)]"
23,23. I think the Swift Accelerator Programme activities will help me understand (or appreciate) how to use coding to solve problems.   ,Scale Rating (1 to 10),1,7,6.408163265306122,7.0,[7],1.2764486343764807,0,7.0,7.0,49,"[(1, 6), (1, 9)]"
24,24. I have started learning more about my own coding-related interests. ,Scale Rating (1 to 10),1,7,6.224489795918367,7.0,[7],1.3441529632714377,0,7.0,6.5,49,"[(1, 6), (1, 9)]"
25,25. I want to do coding-related work in the future.,Scale Rating (1 to 10),1,7,6.1020408163265305,7.0,[7],1.4177432190170127,0,7.0,7.0,49,"[(1, 6), (1, 9)]"
26,"26. I want to do design-related work in the future (such as design of products, apps, human-computer interfaces, etc).",Scale Rating (1 to 10),1,7,5.918367346938775,6.0,[7],1.4545738515269764,0,7.0,6.0,49,"[(1, 6), (1, 9)]"
